accx;accy;accz;time
;;;
484;300;16068;2800
484;300;16068;2976
484;300;16068;3148
484;300;16068;3320
480;276;15924;3492
480;276;15924;3664
480;276;15924;3836
480;276;15924;4016
480;276;15924;492
492;340;15812;5400
472;300;15888;5572
472;300;15888;5744
472;300;15888;5916
472;300;15888;6096
472;300;15888;6268
472;300;15888;6440
476;224;15848;6612
476;224;15848;6784
476;224;15848;6956
476;224;15848;7132
476;224;15848;7304
476;224;15848;7476
480;256;15960;7648
480;256;15960;7824
480;256;15960;7996
480;256;15960;8172
480;256;15960;8344
516;312;16008;8516
516;312;16008;8688
516;312;16008;8860
516;312;16008;9032
516;312;16008;9212
516;312;16008;9384
548;320;15880;9556
548;320;15880;9728
548;320;15880;9900
548;320;15880;10072
548;320;15880;10252
548;320;15880;10424
504;284;15892;10596
504;284;15892;10768
504;284;15892;10940
504;284;15892;11112
504;284;15892;11292
504;284;15892;11464
504;232;15860;11636
504;232;15860;11808
504;232;15860;11980
504;232;15860;12152
504;232;15860;12328
468;212;15700;12500
468;212;15700;12672
468;212;15700;12848
468;212;15700;13020
468;212;15700;13196
468;212;15700;13368
480;232;15712;13540
480;232;15712;13712
480;232;15712;13884
480;232;15712;14056
480;232;15712;14236
480;232;15712;14408
548;272;15768;14580
548;272;15768;14752
548;272;15768;14924
548;272;15768;15096
548;272;15768;15276
548;272;15768;15448
536;264;15736;15620
536;264;15736;15792
536;264;15736;15964
536;264;15736;16136
536;264;15736;16316
512;280;15868;16488
512;280;15868;16660
512;280;15868;16832
512;280;15868;17004
512;280;15868;17176
512;280;15868;17352
440;304;16008;17524
440;304;16008;17696
440;304;16008;17868
440;304;16008;18044
440;304;16008;18216
440;304;16008;18392
428;304;15900;18564
428;304;15900;18736
428;304;15900;18908
428;304;15900;19080
428;304;15900;19252
428;304;15900;19432
496;320;15832;19604
496;320;15832;19776
496;320;15832;19948
496;320;15832;20120
496;320;15832;20292
472;308;15872;20472
472;308;15872;20644
472;308;15872;20816
472;308;15872;20988
472;308;15872;21160
472;308;15872;21332
428;296;15772;21512
428;296;15772;21684
428;296;15772;21856
428;296;15772;22028
428;296;15772;22200
428;296;15772;22372
472;296;15872;22548
472;296;15872;22720
472;296;15872;22892
472;296;15872;23064
472;296;15872;23236
472;296;15872;23412
532;260;15904;23588
532;260;15904;23760
532;260;15904;23932
532;260;15904;24104
532;260;15904;24276
532;260;15904;24456
556;288;15796;24628
556;288;15796;24800
556;288;15796;24972
556;288;15796;25144
556;288;15796;25316
528;304;15932;25496
528;304;15932;25668
528;304;15932;25840
528;304;15932;26012
528;304;15932;26184
528;304;15932;26356
500;280;15892;26532
500;280;15892;26704
500;280;15892;26880
500;280;15892;27052
500;280;15892;27224
500;280;15892;27396
532;280;15840;27572
532;280;15840;27744
532;280;15840;27916
532;280;15840;28088
532;280;15840;28260
532;280;15840;28432
536;308;15912;28612
536;308;15912;28784
536;308;15912;28956
536;308;15912;29128
536;308;15912;29300
560;304;15808;29472
560;304;15808;29652
560;304;15808;29824
560;304;15808;29996
560;304;15808;30168
560;304;15808;30340
496;252;15756;30512
496;252;15756;30692
496;252;15756;30864
496;252;15756;31036
496;252;15756;31208
496;252;15756;31380
440;264;15800;31552
440;264;15800;31728
440;264;15800;31900
440;264;15800;32076
440;264;15800;32248
440;264;15800;32420
448;304;15856;32592
448;304;15856;32768
448;304;15856;32940
448;304;15856;33112
448;304;15856;33284
448;304;15856;33456
428;276;15868;33628
428;276;15868;33808
428;276;15868;33980
428;276;15868;34152
428;276;15868;34324
420;248;15828;34496
420;248;15828;34668
420;248;15828;34848
420;248;15828;35020
420;248;15828;35192
420;248;15828;35364
468;244;15772;35536
468;244;15772;35708
468;244;15772;35888
468;244;15772;36060
468;244;15772;36232
468;244;15772;36404
520;252;15728;36576
520;252;15728;36752
520;252;15728;36924
520;252;15728;37096
520;252;15728;37272
520;252;15728;37444
536;268;15832;37616
536;268;15832;37792
536;268;15832;37964
536;268;15832;38136
536;268;15832;38308
544;256;15876;38480
544;256;15876;38652
544;256;15876;38832
544;256;15876;39004
544;256;15876;39176
544;256;15876;39348
496;256;15896;39520
496;256;15896;39692
496;256;15896;39872
496;256;15896;40044
496;256;15896;40216
496;256;15896;40388
476;252;15964;40560
476;252;15964;40732
476;252;15964;40912
476;252;15964;41084
476;252;15964;41256
476;252;15964;41428
480;276;15916;41600
480;276;15916;41772
480;276;15916;41948
480;276;15916;42120
480;276;15916;42292
504;304;15824;42464
504;304;15824;42640
504;304;15824;42812
504;304;15824;42988
504;304;15824;43160
504;304;15824;43332
532;304;15824;43504
532;304;15824;43676
532;304;15824;43848
532;304;15824;44028
532;304;15824;44200
532;304;15824;44372
508;280;15888;44544
508;280;15888;44716
508;280;15888;44888
508;280;15888;45068
508;280;15888;45240
508;280;15888;45412
464;272;15884;45584
464;272;15884;45756
464;272;15884;45928
464;272;15884;46108
464;272;15884;46280
464;272;15884;46452
472;304;15820;46624
472;304;15820;46796
472;304;15820;46968
472;304;15820;47144
472;304;15820;47316
480;276;15780;47488
480;276;15780;47660
480;276;15780;47836
480;276;15780;48012
480;276;15780;48184
480;276;15780;48356
456;204;15796;48528
456;204;15796;48700
456;204;15796;48872
456;204;15796;49052
456;204;15796;49224
456;204;15796;49396
456;256;15820;49568
456;256;15820;49740
456;256;15820;49912
456;256;15820;50092
456;256;15820;50264
456;256;15820;50436
488;336;15796;50608
488;336;15796;50780
488;336;15796;50952
488;336;15796;51128
488;336;15796;51304
488;276;15772;51476
488;276;15772;51648
488;276;15772;51820
488;276;15772;51992
488;276;15772;52168
488;276;15772;52340
444;248;15788;52512
444;248;15788;52684
444;248;15788;52856
444;248;15788;53032
444;248;15788;53208
444;248;15788;53380
468;244;15736;53552
468;244;15736;53724
468;244;15736;53896
468;244;15736;54068
468;244;15736;54248
468;244;15736;54420
480;220;15732;54592
480;220;15732;54764
480;220;15732;54936
480;220;15732;55108
480;220;15732;55288
484;264;15812;55460
484;264;15812;55632
484;264;15812;55804
484;264;15812;55976
484;264;15812;56148
484;264;15812;56328
512;292;15864;56500
512;292;15864;56672
512;292;15864;56844
512;292;15864;57016
512;292;15864;57188
512;292;15864;57364
524;248;15860;57536
524;248;15860;57708
524;248;15860;57880
524;248;15860;58056
524;248;15860;58228
524;248;15860;58404
528;232;15876;58576
528;232;15876;58748
528;232;15876;58920
528;232;15876;59092
528;232;15876;59272
476;308;15896;59444
476;308;15896;59616
476;308;15896;59788
476;308;15896;59960
476;308;15896;60132
476;308;15896;60312
452;296;15848;60484
452;296;15848;60656
