ACC_X 0, ACC_Y 0, ACC_Z 0, ACC_X 1, ACC_Y 1, ACC_Z 1, ACC_X 3, ACC_Y 3, ACC_Z 3, ACC_X 4, ACC_Y 4, ACC_Z 4, Time[ms]
0.048097, -0.116214, 1.039094, 0.018311, 0.789330, -0.608417, 0.172368, 1.007110, 0.015625, 0.078127, -0.530778, 0.832056,  --- 2.725
0.046876, -0.104984, 1.031037, 0.016358, 0.781274, -0.618915, 0.164312, 0.997100, 0.028321, 0.075198, -0.533952, 0.808618,  --- 5.729
0.045167, -0.115970, 1.039582, 0.015625, 0.778100, -0.618427, 0.171880, 0.997589, 0.023927, 0.078127, -0.535172, 0.821070,  --- 9.727
0.051759, -0.106937, 1.030060, 0.011963, 0.782250, -0.624042, 0.167241, 1.001007, 0.029298, 0.069582, -0.530045, 0.812769,  --- 13.729
0.046876, -0.109622, 1.036652, 0.010498, 0.779809, -0.605487, -0.005371, 1.004669, 0.017823, 0.088137, -0.529557, 0.824244,  --- 17.727
0.031251, -0.113529, 1.032014, 0.017823, 0.781029, -0.626728, 0.171880, 0.993926, 0.023927, 0.062502, -0.526627, 0.816675,  --- 21.728
0.046876, -0.102786, 1.031769, 0.008545, 0.777123, -0.606219, 0.176031, 1.007843, 0.021241, 0.010010, -0.529801, 0.811060,  --- 24.726
0.031251, -0.116703, 1.019318, 0.020753, 0.782006, -0.009033, 0.187445, 0.990753, 0.019776, 0.090579, -0.531510, 0.834254,  --- 28.727
0.055910, -0.108402, 1.027619, 0.000000, 0.780297, -0.624042, 0.156255, 0.999786, 0.037110, 0.062502, -0.527360, 0.011231,  --- 32.728
0.031251, -0.112552, 1.033478, 0.014649, 0.789819, -0.622822, 0.167241, 1.004181, 0.021485, 0.087649, -0.535905, 0.827173,  --- 36.729
0.046876, -0.104007, 1.034699, 0.000000, 0.773705, -0.597186, 0.172613, 0.999054, 0.035157, 0.074221, -0.531266, 0.812524,  --- 40.727
0.031251, -0.113041, 1.033723, 0.018067, 0.782738, -0.629658, 0.171880, 0.995880, 0.024415, 0.072024, -0.529313, 0.827418,  --- 44.727
0.060549, -0.106204, 1.040803, 0.015625, 0.780541, -0.605243, 0.160649, 1.016144, 0.012696, 0.074953, -0.535172, 0.807397,  --- 49.730
0.043214, -0.113041, 1.025666, 0.015625, 0.010498, -0.623066, 0.175298, -0.012696, 0.035890, 0.079104, 0.004151, 0.819116,  --- 53.732
0.053224, -0.125004, 1.038606, 0.005371, 0.781274, -0.624042, 0.170659, 1.000030, 0.017090, 0.086428, -0.535172, 0.820826,  --- 56.726
0.050294, -0.108890, 1.026886, 0.015625, 0.775170, -0.608905, 0.163823, 1.000274, 0.021973, 0.075686, -0.529313, 0.815210,  --- 60.726
0.053713, -0.121586, 1.041291, 0.010498, 0.783959, -0.629902, 0.171636, 1.001007, 0.024903, 0.087649, -0.530045, 0.818140,  --- 64.729
