ACC_X 0, ACC_Y 0, ACC_Z 0, Time[ms]
-0.012207, -0.184088, 1.023224,  --- 1.001
-0.010743, -0.188238, 1.020050,  --- 3.999
-0.005860, -0.185552, 1.018341,  --- 6.000
-0.015625, -0.191168, 1.017365,  --- 7.999
-0.015625, -0.187750, 1.027131,  --- 10.000
-0.005127, -0.190924, 1.023957,  --- 13.000
-0.015625, -0.189947, 1.018097,  --- 14.999
-0.009766, -0.187750, 1.013702,  --- 15.999
-0.004151, -0.193121, 1.027619,  --- 18.000
-0.006104, -0.188971, 1.013947,  --- 20.000
-0.007569, -0.191900, 1.023713,  --- 22.000
-0.015625, -0.187506, 1.020050,  --- 24.000
-0.015625, -0.189215, 1.020294,  --- 26.000
-0.015625, -0.187994, 1.027619,  --- 28.000
-0.015625, -0.190435, 1.022980,  --- 28.999
-0.005615, -0.194830, 1.018830,  --- 32.000
-0.015625, -0.190191, 1.016144,  --- 34.000
-0.008301, -0.192633, 1.020539,  --- 34.998
-0.015625, -0.188971, 1.020539,  --- 37.000
-0.006592, -0.193853, 1.024201,  --- 39.002
-0.007813, -0.189215, 1.016388,  --- 41.016
-0.015625, -0.192633, 1.021027,  --- 44.001
-0.015625, -0.196783, 1.015656,  --- 46.004
-0.015625, -0.195318, 1.013702,  --- 49.001
-0.015625, -0.193121, 1.023468,  --- 52.005
-0.015625, -0.192389, 1.017365,  --- 54.003
0.000000, -0.193853, 0.003174,  --- 56.001
-0.007569, -0.191656, 1.021027,  --- 59.031
-0.005371, -0.192144, 1.021027,  --- 61.002
-0.005371, -0.188726, 1.022004,  --- 64.001
-0.006592, -0.189459, 1.022980,  --- 67.002
-0.005860, -0.191412, 1.021759,  --- 71.002
-0.015625, -0.192633, -0.003662,  --- 74.002
-0.004883, -0.191656, 1.015900,  --- 76.000
-0.015625, -0.190680, 1.021515,  --- 79.023
-0.015625, -0.189215, 1.022736,  --- 82.002
-0.015625, -0.188971, 1.024689,  --- 85.001
-0.015625, -0.190924, 1.018097,  --- 88.003
-0.005371, -0.191168, 1.023224,  --- 90.002
-0.015625, -0.190924, 1.021271,  --- 92.003
-0.005860, -0.190191, 1.030060,  --- 95.000
-0.003906, -0.184576, 1.015411,  --- 98.000
-0.005615, -0.190680, 1.018097,  --- 100.000
